species_key	display_name	class	n_lcr	n_nterm	pct_nterm	nterm_OR	nterm_p	nterm_sig
streptomyces_coelicolor	Streptomyces coelicolor	with_signal_peptide	27	11	40.74	17.188	0.001336	True
streptomyces_coelicolor	Streptomyces coelicolor	without_signal_peptide	98	21	21.43	6.341	0.000223	True
streptomyces_coelicolor	Streptomyces coelicolor	unannotated	0	0				
streptomyces_griseus	Streptomyces griseus	with_signal_peptide	16	9	56.25	inf	0.000567	True
streptomyces_griseus	Streptomyces griseus	without_signal_peptide	73	13	17.81	4.983	0.008018	True
streptomyces_griseus	Streptomyces griseus	unannotated	0	0				
synechocystis_pcc6803	Synechocystis sp. PCC 6803	with_signal_peptide	0	0				
synechocystis_pcc6803	Synechocystis sp. PCC 6803	without_signal_peptide	0	0				
synechocystis_pcc6803	Synechocystis sp. PCC 6803	unannotated	26	3	11.54	3.13	0.319928	False
thermanaerovibrio_acidaminovorans_dsm_6589_gca_000024905	Thermanaerovibrio acidaminovorans DSM 6589	with_signal_peptide	0	0				
thermanaerovibrio_acidaminovorans_dsm_6589_gca_000024905	Thermanaerovibrio acidaminovorans DSM 6589	without_signal_peptide	0	0				
thermanaerovibrio_acidaminovorans_dsm_6589_gca_000024905	Thermanaerovibrio acidaminovorans DSM 6589	unannotated	14	5	35.71	inf	0.024799	True
thermodesulfovibrio_yellowstonii_dsm_11347_gca_000020985	Thermodesulfovibrio yellowstonii DSM 11347	with_signal_peptide	0	0				
thermodesulfovibrio_yellowstonii_dsm_11347_gca_000020985	Thermodesulfovibrio yellowstonii DSM 11347	without_signal_peptide	0	0				
thermodesulfovibrio_yellowstonii_dsm_11347_gca_000020985	Thermodesulfovibrio yellowstonii DSM 11347	unannotated	11	5	45.45	inf	0.022704	True
thermosynechococcus_elongatus_bp_1_gca_000011345	Thermosynechococcus elongatus BP-1	with_signal_peptide	0	0				
thermosynechococcus_elongatus_bp_1_gca_000011345	Thermosynechococcus elongatus BP-1	without_signal_peptide	0	0				
thermosynechococcus_elongatus_bp_1_gca_000011345	Thermosynechococcus elongatus BP-1	unannotated	31	5	16.13	5.577	0.105062	False
thermotoga_maritima	Thermotoga maritima	with_signal_peptide	1	0	0.0		1.0	False
thermotoga_maritima	Thermotoga maritima	without_signal_peptide	11	1	9.09	inf	0.52381	False
thermotoga_maritima	Thermotoga maritima	unannotated	0	0				
thermus_thermophilus	Thermus thermophilus HB8	with_signal_peptide	0	0				
thermus_thermophilus	Thermus thermophilus HB8	without_signal_peptide	0	0				
thermus_thermophilus	Thermus thermophilus HB8	unannotated	20	4	20.0	4.75	0.170825	False
treponema_pallidum	Treponema pallidum	with_signal_peptide	1	0	0.0		1.0	False
treponema_pallidum	Treponema pallidum	without_signal_peptide	8	2	25.0	inf	0.266667	False
treponema_pallidum	Treponema pallidum	unannotated	0	0				
ureaplasma_parvum_serovar_3_str_atcc_700970_gca_000006625	Ureaplasma parvum serovar 3 str. ATCC 700970	with_signal_peptide	0	0				
ureaplasma_parvum_serovar_3_str_atcc_700970_gca_000006625	Ureaplasma parvum serovar 3 str. ATCC 700970	without_signal_peptide	0	0				
ureaplasma_parvum_serovar_3_str_atcc_700970_gca_000006625	Ureaplasma parvum serovar 3 str. ATCC 700970	unannotated	5	0	0.0		1.0	False
vibrio_cholerae_o1_biovar_el_tor_str_n16961_gca_000006745	Vibrio cholerae O1 biovar El Tor str. N16961	with_signal_peptide	0	0				
vibrio_cholerae_o1_biovar_el_tor_str_n16961_gca_000006745	Vibrio cholerae O1 biovar El Tor str. N16961	without_signal_peptide	0	0				
vibrio_cholerae_o1_biovar_el_tor_str_n16961_gca_000006745	Vibrio cholerae O1 biovar El Tor str. N16961	unannotated	22	2	9.09	2.0	0.517867	False
wolbachia_endosymbiont_of_drosophila_melanogaster_gca_000008025	Wolbachia endosymbiont of Drosophila melanogaster	with_signal_peptide	0	0				
wolbachia_endosymbiont_of_drosophila_melanogaster_gca_000008025	Wolbachia endosymbiont of Drosophila melanogaster	without_signal_peptide	0	0				
wolbachia_endosymbiont_of_drosophila_melanogaster_gca_000008025	Wolbachia endosymbiont of Drosophila melanogaster	unannotated	4	0	0.0		1.0	False
xanthomonas_campestris_pv_campestris_str_atcc_33913_gca_000007145	Xanthomonas campestris pv. campestris str. ATCC 33913	with_signal_peptide	0	0				
xanthomonas_campestris_pv_campestris_str_atcc_33913_gca_000007145	Xanthomonas campestris pv. campestris str. ATCC 33913	without_signal_peptide	0	0				
xanthomonas_campestris_pv_campestris_str_atcc_33913_gca_000007145	Xanthomonas campestris pv. campestris str. ATCC 33913	unannotated	59	11	18.64	6.417	0.008588	True
yersinia_pestis_biovar_microtus_str_91001_gca_000007885	Yersinia pestis biovar Microtus str. 91001	with_signal_peptide	0	0				
yersinia_pestis_biovar_microtus_str_91001_gca_000007885	Yersinia pestis biovar Microtus str. 91001	without_signal_peptide	0	0				
yersinia_pestis_biovar_microtus_str_91001_gca_000007885	Yersinia pestis biovar Microtus str. 91001	unannotated	22	7	31.82	9.333	0.026903	True
