species_key	display_name	phylum	n_lcr	n_terminal	pct_terminal	odds_ratio	pvalue	significant
drosophila_guanche_gca900245975v1rs	Drosophila guanche	Insecta	1130	200	17.7	1.935	0.0	True
drosophila_gunungcola_gca025200985v1rs	Drosophila gunungcola	Insecta	2044	333	16.29	1.754	0.0	True
drosophila_hydei_gca003285905v2rs	Drosophila hydei	Insecta	2407	417	17.32	1.891	0.0	True
drosophila_innubila_gca004354385v1rs	Drosophila innubila	Insecta	2528	433	17.13	1.866	0.0	True
drosophila_kikkawai_gca030179895v2rs	Drosophila kikkawai	Insecta	2135	362	16.96	1.841	0.0	True
drosophila_mauritiana_gca004382145v1rs	Drosophila mauritiana	Insecta	1583	276	17.44	1.903	0.0	True
drosophila_melanogaster	Drosophila melanogaster	Insecta	1686	305	18.09	1.994	0.0	True
drosophila_miranda_gca003369915v2rs	Drosophila miranda	Insecta	2552	435	17.05	1.85	0.0	True
drosophila_mojavensis_gca018153725v1rs	Drosophila mojavensis	Insecta	2687	432	16.08	1.728	0.0	True
drosophila_montana_gca035044405v1rs	Drosophila montana	Insecta	2710	429	15.83	1.693	0.0	True
drosophila_nasuta_gca023558535v2rs	Drosophila nasuta	Insecta	243	43	17.7	1.953	0.009114	True
drosophila_navojoa_gca001654015v2rs	Drosophila navojoa	Insecta	2681	426	15.89	1.7	0.0	True
drosophila_novamexicana_gca003285875v3rs	Drosophila novamexicana	Insecta	2448	432	17.65	1.935	0.0	True
drosophila_obscura_gca018151105v1rs	Drosophila obscura	Insecta	2371	366	15.44	1.643	0.0	True
drosophila_persimilis_gca003286085v2rs	Drosophila persimilis	Insecta	2134	376	17.62	1.928	0.0	True
drosophila_pseudoobscura_gca009870125v2rs	Drosophila pseudoobscura	Insecta	2125	372	17.51	1.914	0.0	True
drosophila_rhopaloa_gca018152115v1rs	Drosophila rhopaloa	Insecta	1817	332	18.27	2.02	0.0	True
drosophila_santomea_gca016746245v2rs	Drosophila santomea	Insecta	1786	319	17.86	1.963	0.0	True
drosophila_sechellia_gca004382195v2rs	Drosophila sechellia	Insecta	1623	280	17.25	1.879	0.0	True
drosophila_serrata_gca002093755v2rs	Drosophila serrata	Insecta	2193	401	18.29	2.016	0.0	True
drosophila_simulans_gca016746395v2rs	Drosophila simulans	Insecta	1634	299	18.3	2.02	0.0	True
drosophila_subobscura_gca008121235v1rs	Drosophila subobscura	Insecta	2186	376	17.2	1.874	0.0	True
drosophila_subpulchrella_gca014743375v2rs	Drosophila subpulchrella	Insecta	1507	249	16.52	1.789	0.0	True
drosophila_sulfurigaster_gca023558435v2rs	Drosophila sulfurigaster albostrigata	Insecta	2746	484	17.63	1.93	0.0	True
drosophila_suzukii_gca037355615v1rs	Drosophila suzukii	Insecta	1789	297	16.6	1.801	0.0	True
drosophila_takahashii_gca030179915v2rs	Drosophila takahashii	Insecta	2011	354	17.6	1.923	0.0	True
drosophila_teissieri_gca016746235v2rs	Drosophila teissieri	Insecta	1753	298	17.0	1.846	0.0	True
drosophila_tropicalis_gca018151085v1rs	Drosophila tropicalis	Insecta	2751	458	16.65	1.798	0.0	True
drosophila_virilis_gca030788295v1rs	Drosophila virilis	Insecta	2811	466	16.58	1.788	0.0	True
drosophila_willistoni_gca018902025v2rs	Drosophila willistoni	Insecta	2970	520	17.51	1.91	0.0	True
drosophila_yakuba_gca016746365v2rs	Drosophila yakuba	Insecta	1713	312	18.21	2.007	0.0	True
dufourea_novaeangliae_gca001272555v1rs	Dufourea novaeangliae	Insecta	771	135	17.51	1.91	1.2e-05	True
echinochloa_crusgalli	Echinochloa crus-galli	Viridiplantae	8691	2166	24.92	2.988	0.0	True
echinococcus_granulosus_gca000524195v1rs	Echinococcus granulosus	Platyhelminthes	896	114	12.72	1.32	0.037397	True
ectocarpus_siliculosus_gca_000310025	Ectocarpus siliculosus str. Ec 32	Protist	2961	420	14.18	1.488	0.0	True
eimeria_acervulina_gca_000499425	Eimeria acervulina	Apicomplexa	5585	753	13.48	1.404	0.0	True
eimeria_brunetti_gca_000499725	Eimeria brunetti	Apicomplexa	9775	1091	11.16	1.131	0.004323	True
eimeria_maxima_gca_000499605	Eimeria maxima str. Weybridge	Apicomplexa	4752	676	14.23	1.493	0.0	True
eimeria_mitis	Eimeria mitis	Apicomplexa	10963	1271	11.59	1.18	7.7e-05	True
eimeria_praecox_gca_000499445	Eimeria praecox	Apicomplexa	8281	854	10.31	1.035	0.260931	False
eimeria_tenella_gca_000499545	Eimeria tenella str. Houghton	Apicomplexa	5215	590	11.31	1.149	0.015566	True
emiliania_huxleyi	Emiliania huxleyi	Haptophyta	2821	370	13.12	1.359	0.000146	True
entamoeba_dispar_saw760_gca_000209125	Entamoeba dispar SAW760	Amoebozoa	504	102	20.24	2.299	3e-06	True
entamoeba_histolytica	Entamoeba histolytica	Amoebozoa	206	47	22.82	2.734	0.000245	True
entamoeba_invadens_ip1_gca_000330505	Entamoeba invadens IP1	Amoebozoa	145	38	26.21	3.298	0.000199	True
entamoeba_nuttalli_p19_gca_000257125	Entamoeba nuttalli P19	Amoebozoa	174	56	32.18	4.355	0.0	True
enterobacter_cloacae_subsp_cloacae_atcc_13047_gca_000025565	Enterobacter cloacae subsp. cloacae ATCC 13047	Bacteria	34	7	20.59	2.593	0.164518	False
enterococcus_faecalis_v583_gca_000007785	Enterococcus faecalis V583	Bacteria	24	4	16.67	2.1	0.35395	False
ephydatia_muelleri	Ephydatia muelleri	Porifera	1466	201	13.71	1.435	0.001016	True
eragrostis_curvula	Eragrostis curvula	Viridiplantae	3153	830	26.32	3.218	0.0	True
eragrostis_tef	Eragrostis tef	Viridiplantae	4312	1104	25.6	3.098	0.0	True
eriocheir_sinensis_gca024679095v1rs	Eriocheir sinensis	Crustacea	4006	808	20.17	2.277	0.0	True
escherichia_coli_k12	Escherichia coli K12	Bacteria	26	6	23.08	3.45	0.136748	False
eucalyptus_grandis	Eucalyptus grandis	Viridiplantae	2021	491	24.29	2.888	0.0	True
eufriesea_mexicana_gca001483705v2rs	Eufriesea mexicana	Insecta	852	130	15.26	1.623	0.000664	True
eurytemora_carolleeae_gca000591075v1rs	Eurytemora carolleeae	Crustacea	984	190	19.31	2.161	0.0	True
eutrema_salsugineum	Eutrema salsugineum	Viridiplantae	1692	384	22.7	2.644	0.0	True
exaiptasia_diaphana_gca001417965v1	Exaiptasia diaphana	Cnidaria	865	174	20.12	2.278	0.0	True
ficus_carica	Ficus carica	Viridiplantae	2603	465	17.86	1.959	0.0	True
flavobacterium_psychrophilum_jip02_86_gca_000064305	Flavobacterium psychrophilum JIP02/86	Bacteria	10	4	40.0	6.0	0.151703	False
folsomia_candida	Folsomia candida	Collembola	1879	398	21.18	2.43	0.0	True
fonticula_alba_gca_000388065	Fonticula alba str. ATCC 38817	Protist	1056	166	15.72	1.688	4.6e-05	True
fragilariopsis_cylindrus_ccmp1102_gca_001750085	Fragilariopsis cylindrus CCMP1102	Bacillariophyta	4471	700	15.66	1.671	0.0	True
francisella_tularensis_subsp_tularensis_schu_s4_gca_000008985	Francisella tularensis subsp. tularensis SCHU S4 str. Schu S4	Bacteria	12	3	25.0	3.333	0.329193	False
fraxinus_excelsior	Fraxinus excelsior	Viridiplantae	1462	329	22.5	2.615	0.0	True
fusobacterium_nucleatum_subsp_nucleatum_atcc_25586_gca_000007325	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Bacteria	12	2	16.67	2.0	0.534161	False
galdieria_sulphuraria	Galdieria sulphuraria	Rhodophyta	215	36	16.74	1.848	0.023904	True
galendromus_occidentalis_gca000255335v2rs	Galendromus occidentalis	Chelicerata	583	105	18.01	1.985	4.9e-05	True
gardnerella_vaginalis_0288e_gca_000263555	Gardnerella vaginalis 0288E	Bacteria	9	3	33.33	inf	0.123529	False
geobacter_sulfurreducens_pca_gca_000007985	Geobacter sulfurreducens PCA	Bacteria	32	9	28.12	3.652	0.060074	False
giardia_intestinalis	Giardia intestinalis	Metamonada	86	16	18.6	2.2	0.064822	False
giardia_intestinalis_atcc_50581_gca_000182405	Giardia duodenalis ATCC 50581	Metamonada	89	20	22.47	2.899	0.012096	True
giardia_lamblia_p15_gca_000182665	Giardia lamblia P15	Metamonada	90	19	21.11	2.408	0.0314	True
gigantopelta_aegis_gca016097555v1	Gigantopelta aegis	Mollusca	1031	181	17.56	1.916	0.0	True
globisporangium_ultimum	Globisporangium ultimum DAOM BR144	Oomycota	752	202	26.86	3.31	0.0	True
gloeobacter_violaceus_pcc_7421_gca_000011385	Gloeobacter violaceus PCC 7421	Bacteria	54	8	14.81	1.67	0.290095	False
glossina_austeni	Glossina austeni	Insecta	2716	334	12.3	1.265	0.003781	True
glossina_brevipalpis	Glossina brevipalpis	Insecta	1936	247	12.76	1.32	0.003675	True
glossina_fuscipes	Glossina fuscipes	Insecta	1680	262	15.6	1.663	1e-06	True
glossina_morsitans	Glossina morsitans morsitans	Insecta	1759	274	15.58	1.669	0.0	True
glossina_pallidipes	Glossina pallidipes	Insecta	2349	282	12.01	1.233	0.014299	True
glossina_palpalis	Glossina palpalis gambiensis	Insecta	2285	275	12.04	1.234	0.015001	True
glycine_max	Glycine max	Viridiplantae	2877	607	21.1	2.412	0.0	True
glycine_soja	Glycine soja	Viridiplantae	2759	593	21.49	2.472	0.0	True
glyphotaelius_pellucidus_gca936435175v1	Glyphotaelius pellucidus	Insecta	509	113	22.2	2.614	0.0	True
gordionus_sp_gca954871325v1rs	Gordionus sp. m RMFG-2023	Nematomorpha	181	30	16.57	1.788	0.045632	True
gossypium_raimondii_gca025698545v1rs	Gossypium raimondii GPD5lz	Viridiplantae	1734	382	22.03	2.548	0.0	True
gregarina_niphandrodes_gca_000223845	Gregarina niphandrodes	Apicomplexa	188	44	23.4	2.869	0.000241	True
guillardia_theta	Guillardia theta CCMP2712	Cryptophyta	1796	353	19.65	2.208	0.0	True
habropoda_laboriosa_gca001263275v1rs	Habropoda laboriosa	Insecta	1050	153	14.57	1.535	0.00087	True
haemaphysalis_longicornis_gca013339765v2vb	Haemaphysalis longicornis	Chelicerata	787	136	17.28	1.896	1.3e-05	True
haemophilus_influenzae_rd_kw20_gca_000027305	Haemophilus influenzae Rd KW20	Bacteria	6	0	0.0		1.0	False
halichondria_panicea_gca963675165v1rs	Halichondria panicea	Porifera	333	82	24.62	2.96	0.0	True
haliotis_rubra_gca003918875v1rs	Haliotis rubra	Mollusca	1186	251	21.16	2.427	0.0	True
haliotis_rufescens_gca023055435v1rs	Haliotis rufescens	Mollusca	1394	286	20.52	2.329	0.0	True
haloarcula_marismortui	Haloarcula marismortui	Archaea	40	9	22.5	2.613	0.112342	False
halobacterium_salinarum	Halobacterium salinarum	Archaea	17	3	17.65	3.214	0.324047	False
haloferax_volcanii_ds2_gca_000025685	Haloferax volcanii DS2	Archaea	44	7	15.91	1.845	0.273909	False
halyomorpha_halys_gca000696795v3rs	Halyomorpha halys	Insecta	510	115	22.55	2.62	0.0	True
hammondia_hammondi_gca_000258005	Hammondia hammondi str. H.H.34	Apicomplexa	792	105	13.26	1.377	0.025389	True
harpegnathos_saltator_gca003227715v2rs	Harpegnathos saltator	Insecta	230	39	16.96	1.838	0.019953	True
helianthus_annuus	Helianthus annuus	Viridiplantae	3034	639	21.06	2.404	0.0	True
helicobacter_pylori_26695_gca_000008525	Helicobacter pylori 26695	Bacteria	8	3	37.5	inf	0.123077	False
heliconius_melpomene	Heliconius melpomene	Insecta	491	89	18.13	1.993	0.000167	True
helicoverpa_armigera_gca030705265v1rs	Helicoverpa armigera	Insecta	591	137	23.18	2.716	0.0	True
helicoverpa_zea_gca022581195v1rs	Helicoverpa zea	Insecta	594	132	22.22	2.586	0.0	True
helobdella_robusta	Helobdella robusta	Annelida	3235	439	13.57	1.415	5e-06	True
hermetia_illucens_gca905115235v1	Hermetia illucens	Insecta	695	135	19.42	2.184	0.0	True
hofstenia_miamia	Hofstenia miamia	Xenacoelomorpha	412	90	21.84	2.522	2e-06	True
homalodisca_vitripennis_gca021130785v2rs	Homalodisca vitripennis	Insecta	718	134	18.66	2.088	1e-06	True
homarus_americanus_gca018991925v1	Homarus americanus	Crustacea	1810	363	20.06	2.258	0.0	True
homarus_gammarus_gca958450375v1	Homarus gammarus	Crustacea	1973	389	19.72	2.213	0.0	True
hondaea_fermentalgiana_gca_002897355	Hondaea fermentalgiana	Protist	1582	362	22.88	2.672	0.0	True
hordeum_vulgare_zdm02064	Hordeum vulgare ZDM02064	Viridiplantae	2891	879	30.4	3.932	0.0	True
hyalella_azteca_gca000764305v4rs	Hyalella azteca	Crustacea	160	27	16.88	1.827	0.05018	False
hyalomma_asiaticum_gca013339685v2vb	Hyalomma asiaticum	Chelicerata	1061	168	15.83	1.693	3.8e-05	True
hyaloperonospora_arabidopsidis	Hyaloperonospora arabidopsidis	Oomycota	607	143	23.56	2.805	0.0	True
hydra_vulgaris_gca038396675v1rs	Hydra vulgaris	Cnidaria	540	109	20.19	2.276	2e-06	True
hydractinia_symbiolongicarpus_gca029227915v2rs	Hydractinia symbiolongicarpus	Cnidaria	852	195	22.89	2.675	0.0	True
hylaeus_anthracinus_gca026225885v1rs	Hylaeus anthracinus	Insecta	771	109	14.14	1.482	0.007787	True
hylaeus_volcanicus_gca026283585v1rs	Hylaeus volcanicus	Insecta	779	116	14.89	1.593	0.001748	True
hymenolepis_microstoma	Hymenolepis microstoma	Platyhelminthes	568	95	16.73	1.833	0.000444	True
hyperthermus_butylicus_dsm_5456_gca_000015145	Hyperthermus butylicus DSM 5456	Archaea	21	6	28.57	3.6	0.134375	False
hypsibius_exemplaris_gca002082055v1	Hypsibius exemplaris	Tardigrada	1140	208	18.25	2.009	0.0	True
ichneumon_xanthorius_gca917499995v1	Ichneumon xanthorius	Insecta	710	121	17.04	1.849	6.7e-05	True
ichthyophthirius_multifiliis_gca_000220395	Ichthyophthirius multifiliis str. G5	Ciliophora	298	63	21.14	2.477	8.6e-05	True
ipomoea_triloba	Ipomoea triloba	Viridiplantae	1800	459	25.5	3.081	0.0	True
ischnura_elegans_gca921293095v1rs	Ischnura elegans	Insecta	1516	226	14.91	1.583	2.3e-05	True
ixodes_persulcatus_gca013358835v2vb	Ixodes persulcatus	Chelicerata	976	164	16.8	1.828	5e-06	True
ixodes_scapularis_gca016920785v2	Ixodes scapularis	Chelicerata	1058	238	22.5	2.632	0.0	True
ixodes_scapularis_ise6	Ixodes scapularis	Chelicerata	536	85	15.86	1.714	0.002365	True
juglans_regia	Juglans regia	Viridiplantae	1762	451	25.6	3.098	0.0	True
kalanchoe_fedtschenkoi	Kalanchoe fedtschenkoi	Viridiplantae	1513	362	23.93	2.835	0.0	True
kipferlia_bialata_gca_003568945	Kipferlia bialata	Metamonada	38	4	10.53	1.333	0.515209	False
klebsiella_pneumoniae_subsp_pneumoniae_mgh_78578_gca_000016305	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Bacteria	49	12	24.49	3.568	0.029424	True
klebsormidium_nitens	Klebsormidium nitens	Viridiplantae	444	87	19.59	2.21	3.3e-05	True
lablab_purpureus_gca030347555v1cm	Lablab purpureus Natoba	Viridiplantae	1253	290	23.14	2.715	0.0	True
lactobacillus_plantarum_wcfs1_gca_000203855	Lactobacillus plantarum WCFS1	Bacteria	26	4	15.38	2.091	0.353133	False
lactococcus_lactis_subsp_lactis_il1403_gca_000006865	Lactococcus lactis subsp. lactis Il1403	Bacteria	13	2	15.38	2.0	0.531304	False
lactuca_sativa_gca002870075v4gb	Lactuca sativa Salinas	Viridiplantae	2303	551	23.93	2.833	0.0	True
lathyrus_sativus	Lathyrus sativus	Viridiplantae	1346	271	20.13	2.278	0.0	True
leersia_perrieri	Leersia perrieri	Viridiplantae	3061	853	27.87	3.477	0.0	True
leguminivora_glycinivorella_gca023078275v1rs	Leguminivora glycinivorella	Insecta	629	140	22.26	2.614	0.0	True
leishmania_donovani_gca_000227135	Leishmania donovani str. BPK282A1	Euglenozoa	580	87	15.0	1.588	0.006359	True
leishmania_infantum_gca_900500625	Leishmania infantum	Euglenozoa	600	103	17.17	1.865	0.000189	True
leishmania_major	Leishmania major	Euglenozoa	655	118	18.02	1.991	1.6e-05	True
leishmania_panamensis_gca_000755165	Leishmania panamensis str. MHOM/PA/94/PSC-1	Euglenozoa	559	103	18.43	2.066	2.6e-05	True
lepeophtheirus_salmonis_gca016086655v5rs	Lepeophtheirus salmonis	Crustacea	970	160	16.49	1.778	1.5e-05	True
leptinotarsa_decemlineata_gca000500325v2	Leptinotarsa decemlineata	Insecta	393	62	15.78	1.695	0.009689	True
leptomonas_pyrrhocoris_gca_001293395	Leptomonas pyrrhocoris str. H10	Euglenozoa	1229	157	12.77	1.328	0.015517	True
leptomonas_seymouri_gca_001299535	Leptomonas seymouri str. ATCC 30220	Euglenozoa	756	105	13.89	1.462	0.010804	True
leptospira_interrogans_serovar_lai_str_56601_gca_000092565	Leptospira interrogans serovar Lai str. 56601	Bacteria	30	7	23.33	2.739	0.14949	False
leptotrombidium_deliense_gca003675905v2gb	Leptotrombidium deliense	Chelicerata	289	56	19.38	2.232	0.000706	True
leuconostoc_mesenteroides_subsp_mesenteroides_atcc_8293_gca_000014445	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteria	13	2	15.38	2.0	0.531304	False
limnephilus_lunatus_gca917563855v2	Limnephilus lunatus	Insecta	482	110	22.82	2.667	0.0	True
limnephilus_marmoratus_gca917880885v1	Limnephilus marmoratus	Insecta	446	102	22.87	2.702	0.0	True
limnephilus_rhombicus_gca929108145v2	Limnephilus rhombicus	Insecta	476	93	19.54	2.211	1.8e-05	True
limnoperna_fortunei_gca944474755v1	Limnoperna fortunei	Mollusca	787	143	18.17	2.016	2e-06	True
limulus_polyphemus_gca000517525v1	Limulus polyphemus	Chelicerata	644	124	19.25	2.157	1e-06	True
linepithema_humile_gca040581485v1rs	Linepithema humile	Insecta	1040	184	17.69	1.935	0.0	True
lineus_longissimus_gca910592395v2	Lineus longissimus	Nemertea	741	150	20.24	2.284	0.0	True
lingula_anatina_gca001039355v2	Lingula anatina	Brachiopoda	1250	265	21.2	2.421	0.0	True
liolophura_japonica_gca032854445v1rs	Liolophura japonica	Mollusca	620	135	21.77	2.505	0.0	True
listeria_monocytogenes_egd_e_gca_000196035	Listeria monocytogenes EGD-e	Bacteria	25	7	28.0	4.278	0.078208	False
loa_loa	Loa loa	Nematoda	894	98	10.96	1.112	0.270922	False
lolium_perenne	Lolium perenne	Viridiplantae	2554	675	26.43	3.237	0.0	True
lottia_gigantea	Lottia gigantea	Mollusca	583	122	20.93	2.391	0.0	True
lucilia_cuprina_gca022045245v1rs	Lucilia cuprina	Insecta	1470	257	17.48	1.907	0.0	True
lucilia_sericata_gca015586225v1rs	Lucilia sericata	Insecta	1583	291	18.38	2.03	0.0	True
lupinus_angustifolius	Lupinus angustifolius	Viridiplantae	889	193	21.71	2.521	0.0	True
lutzomyia_longipalpis_gca024334085v1rs	Lutzomyia longipalpis	Insecta	622	120	19.29	2.155	2e-06	True
lysinibacillus_sphaericus_c3_41_gca_000017965	Lysinibacillus sphaericus C3-41	Bacteria	35	7	20.0	2.583	0.164771	False
lytechinus_pictus_gca037042905v1rs	Lytechinus pictus	Echinodermata	1095	222	20.27	2.298	0.0	True
lytechinus_variegatus_gca018143015v1	Lytechinus variegatus	Echinodermata	1202	223	18.55	2.052	0.0	True
machimus_atricapillus_gca933228815v1	Machimus atricapillus	Insecta	624	102	16.35	1.768	0.000539	True
macrobrachium_nipponense_gca015104395v2rs	Macrobrachium nipponense	Crustacea	2710	440	16.24	1.744	0.0	True
macrosteles_quadrilineatus_gca028750875v1rs	Macrosteles quadrilineatus	Insecta	847	170	20.07	2.278	0.0	True
magallana_gigas_gca963853765v1rs	Magallana gigas	Mollusca	936	183	19.55	2.2	0.0	True
malaya_genurostris_gca030247185v2rs	Malaya genurostris	Insecta	1375	223	16.22	1.748	1e-06	True
malus_domestica_golden	Malus domestica Golden	Viridiplantae	1996	505	25.3	3.057	0.0	True
manduca_sexta_gca014839805v1rs	Manduca sexta	Insecta	640	139	21.72	2.497	0.0	True
manihot_esculenta	Manihot esculenta	Viridiplantae	1666	447	26.83	3.311	0.0	True
marchantia_polymorpha	Marchantia polymorpha	Viridiplantae	906	188	20.75	2.371	0.0	True
mayetiola_destructor	Mayetiola destructor	Insecta	1005	149	14.83	1.574	0.000578	True
medicago_truncatula	Medicago truncatula	Viridiplantae	1815	426	23.47	2.767	0.0	True
megachile_rotundata_gca000220905v1rs	Megachile rotundata	Insecta	738	124	16.8	1.837	6.3e-05	True
megaselia_scalaris	Megaselia scalaris	Insecta	911	72	7.9	0.772	0.950554	False
melanaphis_sacchari_gca002803265v2rs	Melanaphis sacchari	Insecta	1037	178	17.16	1.877	1e-06	True
melitaea_cinxia_gca905220565v1	Melitaea cinxia	Insecta	512	102	19.92	2.244	5e-06	True
mercenaria_mercenaria_gca021730395v1rs	Mercenaria mercenaria	Mollusca	1147	226	19.7	2.221	0.0	True
mesoplasma_florum_l1_gca_000008305	Mesoplasma florum L1	Bacteria	3	0	0.0		1.0	False
methanobacterium_thermoautotrophicum	Methanobacterium thermoautotrophicum	Archaea	8	2	25.0	inf	0.266667	False
methanobrevibacter_smithii_atcc_35061_gca_000016525	Methanobrevibacter smithii ATCC 35061	Archaea	11	4	36.36	5.143	0.184874	False
methanocaldococcus_jannaschii	Methanocaldococcus jannaschii	Archaea	13	5	38.46	6.875	0.096894	False
methanococcus_maripaludis_s2_gca_000011585	Methanococcus maripaludis S2	Archaea	7	0	0.0		1.0	False
methanopyrus_kandleri_av19_gca_000007185	Methanopyrus kandleri AV19	Archaea	19	4	21.05	4.533	0.186732	False
methanosarcina_acetivorans	Methanosarcina acetivorans	Archaea	49	12	24.49	3.568	0.029424	True
methanospirillum_hungatei_jf_1_gca_000013445	Methanospirillum hungatei JF-1	Archaea	17	4	23.53	4.615	0.18652	False
methanothermobacter_thermautotrophicus_str_delta_h_gca_000008645	Methanothermobacter thermautotrophicus str. Delta H	Archaea	10	3	30.0	3.857	0.291022	False
micrococcus_luteus_nctc_2665_gca_000023205	Micrococcus luteus NCTC 2665	Bacteria	20	6	30.0	3.857	0.117558	False
microctonus_aethiopoides_gca030347275v1cm	Microctonus aethiopoides	Insecta	1234	170	13.78	1.442	0.002119	True
microctonus_hyperodae_gca030347285v1cm	Microctonus hyperodae	Insecta	956	130	13.6	1.425	0.008015	True
microcystis_aeruginosa_nies_843_gca_000010625	Microcystis aeruginosa NIES-843	Bacteria	66	12	18.18	2.185	0.10819	False
micromonas_commoda	Micromonas commoda	Chlorophyta	968	149	15.39	1.651	0.000187	True
microplitis_demolitor_gca026212275v2rs	Microplitis demolitor	Insecta	1250	184	14.72	1.553	0.000205	True
microplitis_mediator_gca029852145v1rs	Microplitis mediator	Insecta	1235	198	16.03	1.725	5e-06	True
mizuhopecten_yessoensis_gca002113885v2	Mizuhopecten yessoensis	Mollusca	1004	175	17.43	1.906	1e-06	True
mnemiopsis_leidyi	Mnemiopsis leidyi	Ctenophora	542	111	20.48	2.323	1e-06	True
monomorium_pharaonis_gca013373865v2	Monomorium pharaonis	Insecta	1230	205	16.67	1.8	1e-06	True
monosiga_brevicollis	Monosiga brevicollis	Protist	647	148	22.87	2.697	0.0	True
moorella_thermoacetica_atcc_39073_gca_000013105	Moorella thermoacetica ATCC 39073	Bacteria	25	7	28.0	4.278	0.078208	False
musa_acuminata	Musa acuminata	Viridiplantae	2432	626	25.74	3.121	0.0	True
musca_domestica_gca030504385v2rs	Musca domestica	Insecta	2186	381	17.43	1.905	0.0	True
mya_arenaria_gca026914265v1rs	Mya arenaria	Mollusca	1297	271	20.89	2.389	0.0	True
mycobacterium_tuberculosis	Mycobacterium tuberculosis	Bacteria	42	15	35.71	5.139	0.004691	True
mycoplasma_pneumoniae_m129_gca_000027345	Mycoplasma pneumoniae M129	Bacteria	6	0	0.0		1.0	False
myopa_tessellatipennis_gca943737955v2	Myopa tessellatipennis	Insecta	1236	224	18.12	2.001	0.0	True
mytilus_californianus_gca021869535v1rs	Mytilus californianus	Mollusca	799	165	20.65	2.369	0.0	True
myxococcus_xanthus_dk_1622_gca_000012685	Myxococcus xanthus DK 1622	Bacteria	103	37	35.92	5.158	6e-06	True
naegleria_gruberi	Naegleria gruberi	Heterolobosea	967	300	31.02	4.076	0.0	True
nannochloropsis_gaditana_ccmp526_gca_000240725	Nannochloropsis gaditana CCMP526	Protist	278	60	21.58	2.548	8.7e-05	True
nanoarchaeum_equitans_kin4_m_gca_000008085	Nanoarchaeum equitans Kin4-M	Archaea	6	3	50.0	inf	0.121212	False
nasonia_vitripennis	Nasonia vitripennis	Insecta	1315	237	18.02	1.985	0.0	True
natronomonas_pharaonis_dsm_2160_gca_000026045	Natronomonas pharaonis DSM 2160	Archaea	33	10	30.3	4.203	0.03453	True
necator_americanus_gca031761385v1rs	Necator americanus	Nematoda	1078	140	12.99	1.353	0.015453	True
neisseria_meningitidis_z2491_gca_000009105	Neisseria meningitidis Z2491	Bacteria	12	6	50.0	10.0	0.04469	True
nematostella_vectensis_gca932526225v1rs	Nematostella vectensis	Cnidaria	690	146	21.16	2.415	0.0	True
neodiprion_lecontei_gca021901455v1rs	Neodiprion lecontei	Insecta	753	123	16.33	1.762	0.000167	True
neodiprion_pinetum_gca021155775v1rs	Neodiprion pinetum	Insecta	752	115	15.29	1.627	0.00124	True
neurospora_crassa	Neurospora crassa	Fungi	1225	169	13.8	1.446	0.002053	True
nicotiana_attenuata	Nicotiana attenuata	Viridiplantae	1390	283	20.36	2.301	0.0	True
nilaparvata_lugens_gca014356525v1rs	Nilaparvata lugens	Insecta	1510	232	15.36	1.634	6e-06	True
nitrosopumilus_maritimus	Nitrosopumilus maritimus SCM1	Archaea	11	1	9.09	0.9	0.785714	False
nostoc_punctiforme_pcc_73102_gca_000020025	Nostoc punctiforme PCC 73102	Bacteria	49	13	26.53	3.972	0.017127	True
nothophytophthora_sp_chile5_gca_001712635	Nothophytophthora sp. Chile5	Oomycota	1582	327	20.67	2.347	0.0	True
nymphaea_colorata_gca008831285v2rs	Nymphaea colorata Beijing-Zhang1983	Viridiplantae	1149	265	23.06	2.719	0.0	True
octopus_bimaculoides_gca001194135v2rs	Octopus bimaculoides	Mollusca	1547	221	14.29	1.506	0.000138	True
octopus_sinensis_gca006345805v1	Octopus sinensis	Mollusca	1640	237	14.45	1.52	6e-05	True
olea_europaea	Olea europaea	Viridiplantae	269	39	14.5	1.578	0.057748	False
onchocerca_volvulus	Onchocerca volvulus	Nematoda	551	109	19.78	2.219	3e-06	True
onthophagus_taurus_gca000648695v2	Onthophagus taurus	Insecta	564	112	19.86	2.243	2e-06	True
ooceraea_biroi_gca003672135v1	Ooceraea biroi	Insecta	995	166	16.68	1.81	6e-06	True
oppia_nitens_gca028296485v1rs	Oppia nitens	Chelicerata	2017	446	22.11	2.564	0.0	True
orbicella_faveolata_gca002042975v1	Orbicella faveolata	Cnidaria	918	179	19.5	2.199	0.0	True
orchesella_cincta	Orchesella cincta	Collembola	1039	195	18.77	2.097	0.0	True
ornithodoros_turicata_gca037126465v1rs	Ornithodoros turicata	Chelicerata	921	177	19.22	2.141	0.0	True
orussus_abietinus_gca000612105v2	Orussus abietinus	Insecta	611	105	17.18	1.868	0.000162	True
oryza_barthii	Oryza barthii	Viridiplantae	3533	937	26.52	3.251	0.0	True
oryza_brachyantha	Oryza brachyantha	Viridiplantae	4608	762	16.54	1.786	0.0	True
oryza_glaberrima	Oryza glaberrima	Viridiplantae	4461	1121	25.13	3.021	0.0	True
oryza_glumipatula	Oryza glumipatula	Viridiplantae	4404	1114	25.3	3.05	0.0	True
